German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,they
du,you
das,the
die,the
es,it
und,and
der,of the
zu,to
sie,they
Das,The
ein,on
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,For
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,yet
dir,to you
uns,us
sich,yourself
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,How
als,when
bist,are
im,in the
mal,times
doch,but
gut,Good
meine,my
jetzt,now
weiß,White
Wenn,If
werden,become
Der,Of the
nach,to
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
können,can
sagen,say
werde,will
denn,because
Ist,is
Ein,On
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
über,over
müssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thank you
deine,yours
würde,would
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,a lot of
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
kein,no
Komm,come over
Wer,who
zurück,back
wurde,has been
In,In
wollte,wanted
Frau,Mrs
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,say
dieser,this
dein,your
kommt,coming
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,mr
also,so
zur,to
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hi
Okay,OK
macht,makes
waren,were
bis,to
Vielleicht,Maybe
könnte,could
Eine,A
Bitte,You're welcome
weg,path
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,Now
gerade,straight
Alles,Everything
glaube,faith
Tag,Day
ab,from
Geld,money
gemacht,made
nein,No
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,by
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,maybe
ihre,your
Mutter,mother
reden,talk
anderen,other
dachte,thought
daß,that
möchte,would like to
wirst,will
gehört,belongs
weißt,know
Keine,None
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,here
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,I agree
gar,at all
sagt,says
Welt,world
Auf,On
Mädchen,girl
ins,in the
hin,down
vom,from
schön,beautiful
warum,Why
weiter,continue
Leid,suffering
gleich,equal
wer,who
Man,you
ohne,without
Menschen,People
deinen,your
leid,suffering
Wieso,How so
dort,There
Als,When
Hause,home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
Hör,Listen
machst,doing
Freund,friend
richtig,right
Angst,fear
Bist,are
Tut,does
Mit,With
viele,lots
sieht,looks
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,done
okay,OK
rein,purely
Diese,These
Moment,moment
bleiben,stay
brauchen,need
Weil,Because
Kinder,children
unter,under
Arbeit,job
Für,For
Problem,problem
dafür,for this
Herr,Mr
Haben,To have
wegen,because of
geht's,it's
liebe,love
genug,enough
dabei,there
bringen,bring
Ihre,Your
ne,ne
gegen,versus
Weißt,know
Sag,say
schnell,fast
nun,now
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,years
Mach,Mach
Bruder,Brothers
Sache,Thing
hören,Listen
komm,come over
Sohn,son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,go
Baby,infant
Dich,You
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,I agree
daran,it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,were
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,The End
He,He
Dinge,things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,to get
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks
Freunde,friends
Jungs,guys
halten,hold
warten,waiting
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,get
Dir,to you
mache,make
Von,From
Uhr,Clock
sehe,see
Teufel,devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,each
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,mach
Gib,Give
vorbei,past
verstehe,understand
danke,Thank you
drin,in it
Im,in the
Name,Surname
ganzen,all
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Yet
dran,tuned
Sieh,Look
lieber,Dear
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,were
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damn it
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,Very
Hand,hand
darf,may
